Time	LAT	LON	Depth	Mag
2009/02/06 03:27:55.7000	18.916	39.224	10	4.5
2009/02/06 08:58:31.1000	-28.437	-68.669	88	4.5
2009/02/06 09:59:44.7000	-6.924	123.26	654	5.1
2009/02/06 17:11:33.7000	36.594	70.95	211	4.5
2009/02/07 03:33:56.9000	-24.906	-176.629	35	5.1
2009/02/07 04:52:50.3000	43.217	66.341	10	4.9
2009/02/07 09:39:58.6000	12.154	-89.173	61	4.8
2009/02/07 12:51:09.3000	2.783	95.572	35	4.6
2009/02/08 03:51:46.4000	51.328	-178.661	35	4.7
2009/02/08 06:34:31.8000	-29.644	-111.93	10	5
2009/02/08 07:24:30.3000	-24.686	-176.78	10	5
2009/02/08 08:30:46.7000	-7.588	-76.276	134	4.6
2009/02/08 15:34:38.3000	-6.147	147.82	56	5.5
2009/02/08 20:49:25.0000	-2.494	-78.986	89	4.8
2009/02/09 01:17:55.1000	21.386	145.896	66	5.2
2009/02/09 10:47:48.0000	1.293	123.437	10	5.2
2009/02/09 14:09:02.9000	-6.567	-81.125	15	5.5
2009/02/09 19:41:12.1000	1.76	127.228	117	5.2
2009/02/09 21:10:44.2000	32.646	-115.612	8	4
2009/02/09 21:53:59.8000	32.641	-115.621	7	4
2009/02/10 02:11:21.0000	57.413	-154.558	36	4.4
2009/02/10 05:15:16.3000	-24.253	-66.789	178	4.3
2009/02/10 07:16:33.5000	-7.437	128.416	180	4.8
2009/02/10 12:36:59.4000	3.871	127.864	116	4.5
2009/02/10 18:50:09.1000	5.605	94.908	88	4.7
2009/02/10 19:27:19.6000	-25.118	179.931	498	4.5
2009/02/10 20:38:40.0000	-0.651	133.304	10	4.6
2009/02/11 01:50:12.3000	-0.529	133.223	44	4.9
2009/02/11 04:17:31.1000	-0.076	124.323	61	5
2009/02/11 05:52:30.6000	45.453	150.117	115	4.8
2009/02/11 09:31:04.4000	-20.778	-177.334	10	5.5
2009/02/11 13:51:29.1000	21.278	146.177	35	4.7
2009/02/11 13:52:43.8000	-16.211	178.316	22	5.6
2009/02/11 16:02:07.1000	-5.584	151.767	61	4.9
2009/02/11 17:17:02.5000	6.755	-72.95	153	5
2009/02/11 17:49:18.1000	3.982	126.505	35	5.6
2009/02/11 18:47:26.4000	3.831	126.551	35	5.1
2009/02/11 18:54:03.3000	3.982	126.721	35	5.1
2009/02/11 19:01:55.8000	3.882	126.518	35	5.5
2009/02/11 20:45:33.0000	-20.169	-68.715	109	5.3
2009/02/11 21:45:06.6000	3.782	126.491	35	4.9
2009/02/11 22:32:50.4000	3.836	127.08	35	5
2009/02/11 22:51:26.7000	4.026	127.075	35	4.9
2009/02/11 22:53:35.1000	4.135	126.813	35	4.9
2009/02/11 23:40:59.4000	3.911	126.886	35	4.8
2009/02/11 23:43:32.4000	-5.554	151.696	29	5.2
2009/02/11 23:48:11.8000	44.146	147.818	41	4.9
2009/02/12 00:03:00.5000	3.913	126.472	35	5.5
2009/02/12 01:25:25.7000	4.048	126.815	19	5.5
2009/02/12 05:34:51.2000	4.23	127.106	35	4.6
2009/02/12 06:02:00.0000	4.16	126.935	35	5
2009/02/12 06:17:27.6000	3.916	126.757	35	4.8
2009/02/12 07:07:37.9000	4.029	126.681	35	5.4
2009/02/12 07:38:06.9000	3.692	126.771	35	5.4
2009/02/12 08:30:17.3000	3.982	126.748	35	5.9
2009/02/12 11:35:13.8000	4.003	126.709	35	5.1
2009/02/12 13:22:30.1000	45.548	150.652	59	5.1
2009/02/12 13:41:43.4000	12.129	143.75	40	5.5
2009/02/12 14:16:18.5000	3.819	126.734	35	5.3
2009/02/12 15:32:07.6000	3.973	126.617	35	4.9
2009/02/12 16:57:53.0000	4.028	126.688	21	5.1
2009/02/12 20:25:04.3000	-8.333	121.296	214	5.1
2009/02/12 23:03:58.3000	4.032	127.026	35	4.7
2009/02/13 00:44:00.8000	4.072	126.765	84	4.8
2009/02/13 01:39:23.3000	4.004	126.851	35	4.9
2009/02/13 02:17:50.0000	-30.822	-178.147	58	5.3
2009/02/13 02:24:22.3000	3.736	126.743	35	5.3
2009/02/13 03:28:55.6000	3.756	126.687	35	5
2009/02/13 03:46:06.6000	3.895	127.064	35	4.6
2009/02/13 05:47:57.0000	3.818	127.134	47	4.7
2009/02/13 06:28:45.9000	4.067	126.792	64	5
2009/02/13 07:47:26.8000	-23.131	-70.657	37	4.8
2009/02/13 07:56:08.7000	3.629	126.64	51	5.2
2009/02/13 10:22:13.4000	3.921	127.15	35	4.7
2009/02/13 11:31:52.8000	3.976	126.834	67	5
2009/02/13 11:40:36.5000	3.941	127.053	41	4.9
2009/02/13 13:18:35.9000	-8.49	-73.998	151	5.2
2009/02/13 18:00:45.0000	4.102	126.994	35	4.6
2009/02/13 18:42:30.5000	4.013	127.261	25	4.8
2009/02/13 19:00:48.9000	3.613	127.185	35	4.7
2009/02/13 20:41:34.1000	3.859	127.12	35	4.7
2009/02/13 21:26:36.7000	3.8	126.491	32	5.5
2009/02/13 23:32:44.0000	46.736	84.411	19	4.7
2009/02/14 02:06:54.4000	-21.503	170.412	119	5.3
2009/02/14 05:24:58.4000	-5.843	-80.763	45	4.6
2009/02/14 05:30:10.5000	4.214	126.857	35	4.9
2009/02/14 07:25:15.7000	3.902	127.111	35	4.7
2009/02/14 07:48:38.8000	18.674	-68.919	122	5.1
2009/02/14 08:03:36.3000	4.096	127.026	35	4.6
2009/02/14 08:29:39.7000	-15.711	167.47	119	4.9
2009/02/14 11:23:25.5000	3.894	127.061	35	4.7
2009/02/14 12:33:40.8000	12.879	-88.881	53	4.9
2009/02/14 18:26:54.3000	3.842	126.867	96	4.4
2009/02/14 20:05:46.0000	3.956	126.655	102	4.3
2009/02/14 20:29:12.8000	-5.484	151.705	64	5.2
2009/02/14 21:31:47.8000	-5.968	129.983	35	5
2009/02/15 01:18:07.7000	-16.622	-173.173	53	4.8
2009/02/15 03:56:36.1000	1.73	97.082	40	4.9
2009/02/15 04:40:33.3000	3.986	126.706	25	5.1
2009/02/15 07:15:35.3000	-0.329	132.406	35	4.7
2009/02/15 08:03:42.4000	3.824	127.01	35	4.7
2009/02/15 09:24:31.6000	40.245	142.225	33	6
2009/02/15 10:04:49.3000	-5.865	-80.911	21	5.8
2009/02/15 16:16:53.0000	4.074	126.677	35	5
2009/02/15 21:10:00.4000	-20.837	173.929	73	5.2
2009/02/15 21:22:22.0000	31.065	57.073	18	4.9
2009/02/15 22:25:31.5000	17.728	-100.703	129	4.3
2009/02/16 05:54:35.2000	-6.895	155.263	83	5.2
2009/02/16 05:59:30.5000	-6.963	155.27	103	5
